code,city,state,latitude,longitude
s0000801,Port-Cartier,QC,50.03,-66.87
s0000810,Pointe-à-la-Croix,QC,48.02,-66.68
s0000811,Carleton-sur-Mer,QC,48.1,-66.13
s0000067,Pelican Narrows,SK,55.19,-102.93
s0000081,Coronach,SK,49.11,-105.51
s0000086,Indian Head,SK,50.53,-103.67
s0000087,Fort Qu'Appelle,SK,50.77,-103.79
s0000095,Nipawin,SK,53.36,-104.02
s0000113,Uranium City,SK,59.57,-108.61
s0000133,Shaunavon,SK,49.65,-108.42
s0000134,Eastend,SK,49.52,-108.82
s0000157,Tisdale,SK,52.85,-104.05
s0000158,Melfort,SK,52.86,-104.61
s0000192,Broadview,SK,50.38,-102.58
s0000195,Watrous,SK,51.69,-105.46
s0000196,Humboldt,SK,52.2,-105.12
s0000208,Southend Reindeer,SK,56.32,-103.27
s0000209,Assiniboia,SK,49.63,-105.99
s0000219,Leader,SK,50.89,-109.55
s0000225,Rockglen,SK,49.18,-105.95
s0000230,Lucky Lake,SK,50.99,-107.13
s0000241,Waskesiu Lake,SK,53.92,-106.08
s0000248,Maple Creek,SK,49.91,-109.48
s0000274,Elbow,SK,51.12,-106.6
s0000278,Wynyard,SK,51.77,-104.18
s0000300,Rosetown,SK,51.55,-107.99
s0000330,Spiritwood,SK,53.37,-107.52
s0000343,Biggar,SK,52.06,-107.98
s0000344,Scott,SK,52.37,-108.83
s0000355,Swift Current,SK,50.29,-107.79
s0000357,Val Marie,SK,49.25,-107.73
s0000360,Cypress Hills (Provincial Park),SK,49.63,-109.75
s0000369,Collins Bay,SK,58.28,-103.63
s0000372,Weyburn,SK,49.66,-103.85
s0000381,Last Mountain Lake (Sanctuary),SK,51.37,-105.23
s0000387,Outlook,SK,51.49,-107.05
s0000514,Oxbow,SK,49.23,-102.17
s0000515,Carlyle,SK,49.64,-102.27
s0000516,Estevan,SK,49.14,-102.99
s0000545,Hudson Bay,SK,52.84,-102.38
s0000576,Key Lake,SK,57.22,-105.63
s0000581,Kindersley,SK,51.47,-109.16
s0000589,Meadow Lake,SK,54.12,-108.44
s0000624,Prince Albert,SK,53.22,-105.71
s0000662,Canora,SK,51.64,-102.43
s0000663,Yorkton,SK,51.21,-102.46
s0000664,Kamsack,SK,51.56,-101.9
s0000665,Melville,SK,50.93,-102.81
s0000666,North Battleford,SK,52.76,-108.29
s0000684,Stony Rapids,SK,59.25,-105.84
s0000715,La Ronge,SK,55.12,-105.29
s0000722,La Loche,SK,56.49,-109.4
s0000723,Buffalo Narrows,SK,55.88,-108.52
s0000733,Moosomin,SK,50.14,-101.67
s0000743,Rosthern,SK,52.66,-106.33
s0000788,Regina,SK,50.45,-104.61
s0000797,Saskatoon,SK,52.14,-106.69
s0000822,Moose Jaw,SK,50.39,-105.55
s0000835,Lloydminster,SK,53.28,-109.98
s0000030,Rancheria,YT,60.09,-130.6
s0000031,Dempster (Highway),YT,66.16,-137.15
s0000183,Haines Junction,YT,60.75,-137.51
s0000275,Dawson,YT,64.06,-139.43
s0000309,Rock River,YT,66.98,-136.22
s0000349,Faro,YT,62.23,-133.36
s0000350,Ross River,YT,61.98,-132.43
s0000410,Teslin,YT,60.17,-132.72
s0000421,Carmacks,YT,62.09,-136.3
s0000505,Kluane Lake,YT,61.26,-138.77
s0000506,Burwash Landing,YT,61.36,-138.99
s0000593,Mayo,YT,63.59,-135.9
s0000648,Watson Lake,YT,60.06,-128.7
s0000751,Beaver Creek,YT,62.38,-140.88
s0000760,Carcross,YT,60.17,-134.71
s0000823,Old Crow,YT,67.57,-139.84
s0000825,Whitehorse,YT,60.7,-135.08
